idx,p_baseline,p_scale_1,p_scale_2,p_scale_5,p_scale_10,p_scale_20
20575,0.11421518818970217,0.11072956539806779,0.1071180348669802,0.09679455359561888,0.08243039020684072,0.06020302057881676
40576,0.11936679737448903,0.11615097822055136,0.11153922372919763,0.10110638513517993,0.08569428552013038,0.06253726722752846
44166,0.14278659759029158,0.13764877248767954,0.13352166660897663,0.12078303263307767,0.10274768548832434,0.07467011246097896
41076,0.10582159991847034,0.10252028571219422,0.09905398197696208,0.08991340559162357,0.07614896639092769,0.05541993611685782
20313,0.15237268132106163,0.14761450546538876,0.14264287036958662,0.12990205851209266,0.1105907599715778,0.08013898243059865
44417,0.14852066809027925,0.14370978723858555,0.13903318126967582,0.12598111416513846,0.10697622245256078,0.07826499536342509
28386,0.0819901985079591,0.07921800033481255,0.07649468589434351,0.06895375887426373,0.05832548246019416,0.04261272903216144
25759,0.11402387246597637,0.11033610099396092,0.10670663481697373,0.09682074374039788,0.08205424394870767,0.06009041719106895
14691,0.2068233583353489,0.20106769187660478,0.19479330293236333,0.1777155819644154,0.15245383619382066,0.11242153847248969
32325,0.17828724597320297,0.1732487654939537,0.16814734401070341,0.1524403438223722,0.12988750727976073,0.09473635002718037
